name	cursorGraphic	uniqueBaseItem	minLevel	value	power0	power0.value1	power0.value2	power1	power1.value1	power1.value2	power2	power2.value1	power2.value2	power3	power3.value1	power3.value2	power4	power4.value1	power4.value2	power5	power5.value1	power5.value2
The Butcher's Cleaver		CLEAVER	1	3650	STR	10	10	SETDAM	4	24	SETDUR	10	10									
The Undead Crown	HELM_OF_SPIRITS	SKCROWN	1	16650	RNDSTEALLIFE			MAGRES	10	10	LIGHTRES	10	10	FIRERES	10	10						
Empyrean Band		INFRARING	1	8000	ATTRIBS	2	2	LIGHT	2	2	FASTRECOVER	1	1	ABSHALFTRAP								
Optic Amulet		OPTAMULET	1	9750	LIGHT	2	2	LIGHTRES	20	20	GETHIT	1	1	MAG	5	5						
Ring of Truth		TRING	1	9100	LIFE	10	10	GETHIT	1	1	ALLRES	10	10									
Harlequin Crest		HARCREST	1	4000	AC_CURSE	3	3	GETHIT	1	1	ATTRIBS	2	2	LIFE	7	7	MANA	7	7			
Veil of Steel		STEELVEIL	1	63800	ALLRES	20	20	LIGHT_CURSE	1	1	ACP	90	90	MANA_CURSE	30	30	TOHIT	30	30			
Arkaine's Valor		ARMOFVAL	1	42000	SETAC	30	30	VIT	10	10	GETHIT	3	3	FASTRECOVER	3	3						
Griswold's Edge		GRISWOLD	1	42000	FIREDAM	1	10	TOHIT	25	25	FASTATTACK	2	2	KNOCKBACK								
Lightforge		LGTFORGE	1	26675	LIGHT	4	4	DAMP	150	150	TOHIT	25	25	FIREDAM	10	20	INDESTRUCTIBLE			ATTRIBS	8	8
The Rift Bow		SHORTBOW	1	1800	RNDARROWVEL			DAMMOD	2	2	DEX_CURSE	3	3									
The Needler	THE_NEEDLER	SHORTBOW	2	8900	TOHIT	50	50	SETDAM	1	3	FASTATTACK	2	2									
The Celestial Bow	COMPOSITE_BOW	LONGBOW	2	1200	NOMINSTR			DAMMOD	2	2	LIGHTDAM	1	2	LIGHT	1	1						
Deadly Hunter	DEADLY_HUNTER	COMPBOW	3	8750	3XDAMVDEM			TOHIT	20	20	MAG_CURSE	5	5									
Bow of the Dread	DEADLY_HUNTER	SWARBOW	15	25000	TOHIT	50	50	DAMP	65	65	FASTATTACK	2	2	LIGHT	1	1	SETDUR	80	80			
The Blackoak Bow		LONGBOW	5	2500	DEX	10	10	VIT_CURSE	10	10	DAMP	50	50	LIGHT	1	1						
Flamedart		HUNTBOW	10	14250	FIRE_ARROWS	1	6	TOHIT	20	20	FIRERES	40	40									
Fleshstinger		LONGBOW	13	16500	DEX	15	15	TOHIT	40	40	DAMP	80	80									
Windforce	WINDFORCE	WARBOW	17	37750	STR	5	5	DAMP	200	200	KNOCKBACK											
ShootingStar	DEADLY_HUNTER	BATTLEBOW	20	90000	ATTRIBS	15	15	DAMMOD	20	20	FIREDAM	1	2	TARGAC	2	2	DUR	90	90			
Gonnagal's Dirk	GONNAGALS_DIRK	DAGGER	1	7040	DEX_CURSE	5	5	DAMMOD	4	4	FASTATTACK	2	2	FIRERES	25	25						
The Defender		SABRE	1	2000	SETAC	5	5	VIT	5	5	GETHIT	1	2									
Gryphon's Claw	GRYPHONS_CLAW	FALCHION	1	1000	DAMP	100	100	MAG_CURSE	2	2												
Black Razor	BLACK_RAZOR	DAGGER	1	2000	DAMP	150	150	VIT	2	2	SETDUR	5	5									
Gibbous Moon		BROADSWR	2	6660	ATTRIBS	2	2	DAMP	25	25	MANA	15	15	LIGHT_CURSE	3	3						
Ice Shank		LONGSWR	3	5250	FIRERES	40	40	SETDUR	15	15	STR	5	10									
The Executioner's Blade	THE_EXECUTIONERS_BLADE	FALCHION	3	7080	DAMP	150	150	LIFE_CURSE	10	10	LIGHT_CURSE	1	1	DUR	200	200						
The Bonesaw		CLAYMORE	6	4400	DAMMOD	10	10	STR	10	10	MAG_CURSE	5	5	DEX_CURSE	5	5	LIFE	10	10	MANA_CURSE	10	10
Shadowhawk		BROADSWR	8	13750	LIGHT_CURSE	2	2	STEALLIFE	5	5	TOHIT	15	15	ALLRES	5	5						
Wizardspike	WIZARDSPIKE	DAGGER	11	12920	MAG	15	15	MANA	35	35	TOHIT	25	25	ALLRES	15	15						
Lightsabre		SABRE	13	19150	LIGHT	2	2	LIGHTDAM	1	10	TOHIT	20	20	LIGHTRES	50	50						
The Falcon's Talon	GRYPHONS_CLAW	SCIMITAR	15	7867	FASTATTACK	4	4	TOHIT	20	20				DEX	10	10						
